CVE-2006-0743,2022-05-01T06:42:27Z,"Apache log4net format string vulnerability causes DoS",log4net,0,1.2.10,MODERATE,CWE-134
CVE-2019-0980,2022-05-24T16:45:53Z,"Denial of service in ASP.NET Core",System.Private.Uri,4.3.0,4.3.2,HIGH,
CVE-2019-0981,2022-05-24T16:45:54Z,"Denial of service in ASP.NET Core",System.Private.Uri,4.3.0,4.3.2,HIGH,
CVE-2019-0982,2022-05-24T16:45:54Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.SignalR.Protocols.MessagePack",1.0.0,1.0.11,HIGH,
CVE-2019-0982,2022-05-24T16:45:54Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.SignalR.Protocols.MessagePack",1.1.0,1.1.5,HIGH,
CVE-2019-0989,2021-03-29T20:59:04Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-0991,2021-03-29T20:57:42Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-0992,2021-03-29T20:59:07Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-0993,2021-03-29T20:57:51Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-1002,2022-05-24T22:00:06Z,"ChakraCore RCE via Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-1003,2021-03-29T20:59:06Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-1010113,2019-07-26T16:10:06Z,"Cross-site scripting in CLEditor",CLEditor,0,,MODERATE,CWE-79
CVE-2019-1010199,2022-05-24T22:00:16Z,"Cross site scripting attack in ServiceStack Framework",ServiceStack,4.5.14,5.2.0,MODERATE,CWE-79
CVE-2019-1024,2022-05-24T22:00:06Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-1051,2022-05-24T22:00:06Z,"ChakraCore RCE via Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-1052,2022-05-24T22:00:06Z,"ChakraCore RCE via Out-of-bounds write",Microsoft.ChakraCore,0,1.11.10,HIGH,CWE-787
CVE-2019-1062,2021-03-29T20:59:09Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.11,HIGH,CWE-787
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core","Microsoft.AspNetCore.Server.HttpSys",2.1.0,2.1.12,MODERATE,CWE-601
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core","Microsoft.AspNetCore.Server.HttpSys",2.2.0,2.2.6,MODERATE,CWE-601
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core","Microsoft.AspNetCore.Server.IIS",2.2.0,2.2.6,MODERATE,CWE-601
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core",Microsoft.AspNetCore.All,2.1.0,2.1.12,MODERATE,CWE-601
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core",Microsoft.AspNetCore.All,2.2.0,2.2.6,MODERATE,CWE-601
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core",Microsoft.AspNetCore.App,2.1.0,2.1.12,MODERATE,CWE-601
CVE-2019-1075,2022-05-24T16:50:19Z,"Open redirect in ASP.NET Core",Microsoft.AspNetCore.App,2.2.0,2.2.6,MODERATE,CWE-601
CVE-2019-1092,2021-03-29T20:59:11Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.11,HIGH,CWE-787
CVE-2019-1103,2021-03-29T20:59:12Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.11,HIGH,CWE-787
CVE-2019-1106,2021-03-29T20:59:15Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.11,HIGH,CWE-787
CVE-2019-1107,2021-03-29T20:57:35Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.11,HIGH,CWE-787
CVE-2019-1131,2021-03-29T20:57:46Z,"Out-of-bounds write in Microsoft.ChakraCore",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-11358,2019-04-26T16:29:11Z,"XSS in jQuery as used in Drupal, Backdrop CMS, and other products",jQuery,1.1.4,3.4.0,MODERATE,CWE-1321;CWE-79
CVE-2019-1138,2021-03-29T20:56:11Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.13,HIGH,CWE-787
CVE-2019-1139,2021-03-29T20:57:53Z,"Out-of-bounds write in Microsoft.ChakraCore",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-1140,2021-03-29T20:57:49Z,"Out-of-bounds write in Microsoft.ChakraCore",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-11401,2022-05-24T16:44:03Z,"SiteServer CMS RCE via unsafe file upload",sscms,0,6.12,HIGH,CWE-434
CVE-2019-1141,2021-03-29T20:57:56Z,"Out-of-bounds write in Microsoft.ChakraCore",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-1167,2019-07-17T19:14:18Z,"System.Management.Automation subject to bypass via script debugging","System.Management.Automation",6.1.0,6.1.5,MODERATE,
CVE-2019-1167,2019-07-17T19:14:18Z,"System.Management.Automation subject to bypass via script debugging","System.Management.Automation",6.2.0,6.2.2,MODERATE,
CVE-2019-1195,2021-03-29T20:57:59Z,"Out-of-bounds write in Microsoft.ChakraCore",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-1196,2021-03-29T20:58:01Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-1197,2021-03-29T20:56:15Z,"Out-of-bounds write ",Microsoft.ChakraCore,0,1.11.12,HIGH,CWE-787
CVE-2019-1217,2021-03-29T20:56:08Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.13,HIGH,CWE-787
CVE-2019-1237,2021-03-29T20:56:04Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.13,HIGH,CWE-787
CVE-2019-12562,2019-11-18T17:16:06Z,"Stored Cross-Site Scripting vulnerability in admin component of DotNetNuke",DotNetNuke.Core,0,9.4.0,MODERATE,CWE-79
CVE-2019-1258,2019-08-16T14:03:35Z,"Vulnerability in Azure Active Directory Authentication Library","microsoft.identitymodel.clients.activedirectory",5.0.0,5.2.0,HIGH,
CVE-2019-1298,2021-03-29T20:56:01Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.13,HIGH,CWE-787
CVE-2019-1300,2021-03-29T20:55:57Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.13,HIGH,CWE-787
CVE-2019-1301,2019-09-13T13:25:47Z,"High severity vulnerability that affects System.Management.Automation","System.Management.Automation",0,6.1.6,HIGH,
CVE-2019-1301,2019-09-13T13:25:47Z,"High severity vulnerability that affects System.Management.Automation","System.Management.Automation",6.2.0,6.2.3,HIGH,
CVE-2019-1302,2022-05-24T22:00:33Z,"Elevation of privilege in ASP.NET Core","Microsoft.AspNetCore.SpaServices",2.1.0,2.1.13,MODERATE,
CVE-2019-1302,2022-05-24T22:00:33Z,"Elevation of privilege in ASP.NET Core","Microsoft.AspNetCore.SpaServices",2.2.0,2.2.7,MODERATE,
CVE-2019-1307,2021-03-29T20:55:46Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.14,HIGH,CWE-787
CVE-2019-1308,2021-03-29T20:55:52Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.14,HIGH,CWE-787
CVE-2019-1335,2021-03-29T20:55:40Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.14,HIGH,CWE-787
CVE-2019-1366,2021-03-29T20:55:36Z,"Out-of-bounds write",Microsoft.ChakraCore,0,1.11.14,HIGH,CWE-787
CVE-2019-14262,2019-08-23T00:04:56Z,"Uncontrolled Resource Consumption in MetadataExtractor",MetadataExtractor,0,2.2.0,HIGH,CWE-400
CVE-2019-15151,2021-03-29T20:48:45Z,"Double Free in Adplug",adplug,0,2.3.3,CRITICAL,CWE-415
CVE-2019-16929,2019-10-24T20:56:12Z,"Improper Authentication in Auth0.AuthenticationApi",Auth0.AuthenticationApi,5.8.0,6.5.4,HIGH,CWE-287
CVE-2019-20627,2022-05-24T17:12:10Z,"AutoUpdater.NET allows XXE",Autoupdater.NET.Official,0,1.5.8,CRITICAL,CWE-611
CVE-2019-20921,2021-05-07T16:47:54Z,"Cross-site scripting in bootstrap-select",bootstrap-select,0,1.13.6,MODERATE,CWE-79
CVE-2019-5428,2019-04-23T15:59:10Z,"Duplicate Advisory: Prototype Pollution in jquery",jquery,0,3.4.0,MODERATE,
CVE-2019-7644,2019-04-18T14:28:03Z,"Critical severity vulnerability that affects Auth0-WCF-Service-JWT",Auth0-WCF-Service-JWT,0,1.0.4,CRITICAL,CWE-209
CVE-2019-8331,2019-02-22T20:54:47Z,"Bootstrap Vulnerable to Cross-Site Scripting",Bootstrap.Less,3.0.0,3.4.1,MODERATE,CWE-79
CVE-2019-8331,2019-02-22T20:54:47Z,"Bootstrap Vulnerable to Cross-Site Scripting",bootstrap,3.0.0,3.4.1,MODERATE,CWE-79
CVE-2019-8331,2019-02-22T20:54:47Z,"Bootstrap Vulnerable to Cross-Site Scripting",bootstrap,4.0.0,4.3.1,MODERATE,CWE-79
CVE-2019-8331,2019-02-22T20:54:47Z,"Bootstrap Vulnerable to Cross-Site Scripting",bootstrap.sass,0,4.3.1,MODERATE,CWE-79
CVE-2019-9648,2022-05-14T00:52:11Z,"CoreFTP Directory Traversal",CoreFtp,0,,MODERATE,CWE-22
CVE-2019-9845,2019-07-05T21:11:13Z,"MadsKristensen.AspNetCore.Miniblog subject to Improper Input Validation","MadsKristensen.AspNetCore.Miniblog",0,,CRITICAL,CWE-20
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-arm",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-arm64",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-musl-x64",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-x64",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.osx-x64",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.win-arm",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.win-x64",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.win-x86",3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core","Microsoft.AspNetCore.Http.Connections",1.0.0,1.0.15,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core",Microsoft.AspNetCore.All,2.1.0,2.1.15,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core",Microsoft.AspNetCore.App,2.1.0,2.1.15,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core",Microsoft.AspNetCore.App,3.0.0,3.0.1,MODERATE,CWE-400
CVE-2020-0602,2022-05-24T17:06:16Z,"Denial of service in ASP.NET Core",Microsoft.AspNetCore.App,3.1.0,3.1.1,MODERATE,CWE-400
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-arm",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-arm64",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-musl-arm64",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-musl-x64",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.linux-x64",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.osx-x64",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.win-arm",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.win-x64",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.App.Runtime.win-x86",3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core","Microsoft.AspNetCore.Http.Connections",1.0.0,1.0.15,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core",Microsoft.AspNetCore.All,2.1.0,2.1.15,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core",Microsoft.AspNetCore.App,2.1.0,2.1.15,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core",Microsoft.AspNetCore.App,3.0.0,3.0.1,HIGH,CWE-119
CVE-2020-0603,2022-05-24T17:06:16Z,"Remote code execution in ASP.NET Core",Microsoft.AspNetCore.App,3.1.0,3.1.1,HIGH,CWE-119
CVE-2020-0606,2022-05-24T17:06:16Z,"Remote code execution in Microsoft.WindowsDesktop.App.Ref","Microsoft.WindowsDesktop.App.Ref",3.0.1,3.0.2,HIGH,CWE-20
CVE-2020-0606,2022-05-24T17:06:16Z,"Remote code execution in Microsoft.WindowsDesktop.App.Ref","Microsoft.WindowsDesktop.App.Ref",3.1.0,3.1.1,HIGH,CWE-20
CVE-2020-0606,2022-05-24T17:06:16Z,"Remote code execution in Microsoft.WindowsDesktop.App.Ref","Microsoft.WindowsDesktop.App.Runtime.win-x64",3.0.0,3.0.2,HIGH,CWE-20
CVE-2020-0606,2022-05-24T17:06:16Z,"Remote code execution in Microsoft.WindowsDesktop.App.Ref","Microsoft.WindowsDesktop.App.Runtime.win-x64",3.1.0,3.1.11,HIGH,CWE-20
CVE-2020-0606,2022-05-24T17:06:16Z,"Remote code execution in Microsoft.WindowsDesktop.App.Ref","Microsoft.WindowsDesktop.App.Runtime.win-x86",3.0.0,3.0.2,HIGH,CWE-20
CVE-2020-0606,2022-05-24T17:06:16Z,"Remote code execution in Microsoft.WindowsDesktop.App.Ref","Microsoft.WindowsDesktop.App.Runtime.win-x86",3.1.0,3.1.11,HIGH,CWE-20
CVE-2020-0710,2022-05-24T17:08:29Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.16,HIGH,CWE-119;CWE-787
CVE-2020-0711,2022-05-24T17:08:29Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.16,HIGH,CWE-119;CWE-787
CVE-2020-0712,2022-05-24T17:08:29Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.16,HIGH,CWE-119;CWE-787
CVE-2020-0713,2022-05-24T17:08:29Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.16,HIGH,CWE-119;CWE-787
CVE-2020-0767,2022-05-24T17:08:34Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.16,HIGH,CWE-119
CVE-2020-0768,2021-08-02T17:26:23Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0811,2022-05-24T17:10:58Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-119
CVE-2020-0812,2022-05-24T17:10:58Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-119
CVE-2020-0813,2022-05-24T22:28:59Z,"ChakraCore information disclosure vulnerability",Microsoft.ChakraCore,0,1.11.17,HIGH,
CVE-2020-0823,2021-07-28T18:57:11Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0825,2021-07-28T18:57:02Z," Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0826,2021-07-28T18:58:03Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0827,2021-07-28T18:56:52Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0828,2021-07-28T18:58:22Z,"Out-of-bounds Write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0829,2021-07-28T18:57:39Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0830,2021-07-28T18:57:47Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0831,2021-07-28T18:58:14Z,"Out-of-bounds Write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0832,2021-07-28T18:57:27Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0833,2021-07-28T18:57:55Z," Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0848,2021-07-28T18:57:19Z,"Out-of-bounds write in ChakraCore",Microsoft.ChakraCore,0,1.11.17,HIGH,CWE-787
CVE-2020-0969,2022-05-24T17:14:32Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.18,HIGH,CWE-119;CWE-787
CVE-2020-0970,2022-05-24T17:14:32Z,"ChakraCore Remote Code Execution Vulnerability",Microsoft.ChakraCore,0,1.11.18,HIGH,CWE-787
CVE-2020-1037,2022-05-24T17:18:23Z,"ChakraCore Remote Code Execution Vulnerability",Microsoft.ChakraCore,0,1.11.19,HIGH,CWE-787
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.linux-arm",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.linux-arm64",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.linux-musl-arm64",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.linux-musl-x64",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.linux-x64",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.osx-x64",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.win-arm",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.win-arm64",3.1.5,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.win-x64",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.App.Runtime.win-x86",3.1.0,3.1.8,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure","Microsoft.AspNetCore.Http",0,2.1.22,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure",Microsoft.AspNetCore.App,0,2.1.22,HIGH,
CVE-2020-1045,2022-05-24T17:27:57Z,"Cookie parsing failure",Microsoft.Owin,0,4.1.1,HIGH,
CVE-2020-1057,2021-08-02T17:28:53Z,"Remote code execution in ChakraCore",Microsoft.ChakraCore,0,1.11.22,HIGH,CWE-119;CWE-787
CVE-2020-1065,2022-05-24T17:18:25Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.19,HIGH,CWE-119;CWE-787
CVE-2020-1073,2022-05-24T17:19:47Z,"ChakraCore RCE Vulnerability",Microsoft.ChakraCore,0,1.11.20,HIGH,CWE-119;CWE-787
CVE-2020-11005,2020-04-14T23:09:13Z,"Internal NCryptDecrypt method could be used externally from WindowsHello library.","HaemmerElectronics.SeppPenner.WindowsHello",0,1.0.4,MODERATE,CWE-288
CVE-2020-11022,2020-04-29T22:18:55Z,"Potential XSS vulnerability in jQuery",jquery,1.2.0,3.5.0,MODERATE,CWE-79
CVE-2020-11023,2020-04-29T22:19:14Z,"Potential XSS vulnerability in jQuery",jQuery,1.0.3,3.5.0,MODERATE,CWE-79
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.linux-arm",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.linux-arm64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.linux-musl-arm64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.linux-musl-x64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.linux-x64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.osx-x64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.rhel.6-x64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.win-arm",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.win-arm64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.win-x64",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability","Microsoft.NETCore.App.Runtime.win-x86",3.1.0,3.1.4,HIGH,
CVE-2020-1108,2022-05-24T17:18:28Z,".NET Core & .NET Framework Denial of Service Vulnerability",Microsoft.NETCore.App,2.1.0,2.1.18,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.linux-arm",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.linux-arm64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.linux-musl-arm64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.linux-musl-x64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.linux-x64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.osx-x64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.rhel.6-x64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.win-arm",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.win-arm64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.win-x64",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability","Microsoft.NETCore.App.Runtime.win-x86",3.1.0,3.1.6,HIGH,
CVE-2020-1147,2022-05-24T17:22:57Z,".NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability",Microsoft.NETCore.App,2.1.0,2.1.20,HIGH,
CVE-2020-1161,2022-05-24T17:18:32Z,"ASP.NET Core Denial of Service Vulnerability","Microsoft.AspNetCore.App.Runtime.linux-arm",3.1.0,3.1.4,HIGH,CWE-20
CVE-2020-1161,2022-05-24T17:18:32Z,"ASP.NET Core Denial of Service Vulnerability","Microsoft.AspNetCore.App.Runtime.linux-arm64",3.1.0,3.1.4,HIGH,CWE-20
CVE-2020-1161,2022-05-24T17:18:32Z,"ASP.NET Core Denial of Service Vulnerability","Microsoft.AspNetCore.App.Runtime.linux-musl-arm64",3.1.0,3.1.4,HIGH,CWE-20
CVE-2020-1161,2022-05-24T17:18:32Z,"ASP.NET Core Denial of Service Vulnerability","Microsoft.AspNetCore.App.Runtime.linux-musl-x64",3.1.0,3.1.4,HIGH,CWE-20
